Delivery report: PLS;;;;;;;;;;;;;;;;;;;
Delivery Date;;Tour Number;;Ordernr;;Item Number;;;;Order. Qty;Act. Qty;;Verzenddat. order;;;;;;
21-12-2011;;;;20111340;8;FESC-KB-450-5;;;;1.488,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;9;FESC-KLO-100-125-W;;;;480,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;10;FESC-KRA-100-150-B;;;;128,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;11;FESC-KRC-125-W;;;;144,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;12;FESC-KVV-150-W;;;;384,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;13;FESC-MOSQUITONET;;;;1.224,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;14;FESC-RBR-130-75-S;;;;192,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;15;FESC-SRG-250-300-A;;;;216,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;16;FESC-SRM-155-155-G;;;;672,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;17;FESC-SRM-180-90-W;;;;1.008,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;18;FESC-SRM-195-195-G;;;;504,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;19;FESC-SRM-245-195-W;;;;288,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;20;FESC-SRM-370-40-W;;;;648,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;1;FESC-AR-127;;;;300,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;2;FESC-BV-125;;;;200,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;3;FESC-BV-150;;;;192,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;4;FESC-KSR-200-250-W;;;;528,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;5;FESC-KVV-125-W;;;;288,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;6;FESC-SRG-250-300-A;;;;432,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;7;FESC-SRM-245-195-A;;;;72,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;8;FESC-STV-100-W;;;;320,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111496;4;FESC-SRM-370-40-W;;;;216,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111498;3;FESC-SRM-370-40-W;;;;216,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111542;1;FEIA-SRM-155-155-A;;;;672,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111542;2;FEIA-SRM-155-155-S;;;;672,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111542;3;FEIA-SRM-155-155-W;;;;672,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;1;FEIA-AAR-245-195-W;;;;192,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;2;FEIA-AAR-370-40-W;;;;144,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;3;FEIA-HIR-80-500;;;;156,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;4;FEIA-INB-80-500-A;;;;672,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;5;FEIA-KAR-160-160-W;;;;432,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;6;FEIA-KAR-200-200-W;;;;312,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;7;FEIA-KAR-370-40-W;;;;1.600,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;8;FEIA-KLO-100-125-W;;;;640,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;9;FEIA-KVV-100-W;;;;864,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;10;FEIA-SRM-195-195-A;;;;504,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;11;FEIA-SRM-245-195-W;;;;288,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;12;FEIA-SRM-370-40-A;;;;864,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;13;FEIA-SRM-495-90-A;;;;288,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;14;FEIA-SRM-495-90-W;;;;288,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;15;FEIA-SV-100;;;;120,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111543;16;FEIA-SV-125;;;;90,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111544;1;FEAP-DC-50-165;;;;252,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111544;2;FEAP-INB-80-500-A;;;;252,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111544;3;FEAP-KDR-455-90-W;;;;288,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111544;4;FEAP-SRM-180-90-W;;;;1.008,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111544;5;FEAP-SRM-245-195-A;;;;288,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111544;6;FEAP-SUA-150;;;;24,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111544;7;FEAP-SV-100;;;;120,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111544;8;FEAP-SV-125;;;;90,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111551;1;FEAP-INB-80-500-W;;;;336,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111551;2;FEAP-SRM-155-155-GN;;;;168,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111552;1;FEIA-HIR-60-500;;;;208,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111552;2;FEIA-KAR-250-250-W;;;;240,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111552;3;FEIA-SRG-250-200-A;;;;216,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111552;4;FEIA-SRM-245-195-A;;;;288,00;0,00;;0-1-1900;;;;;;
19-12-2011;;OUT0000024;;20110091;1;FP-LV-100-DS;;;;700,00;720,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000024;;20110091;2;FP-LV-70-DS;;;;700,00;720,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000024;;20110091;3;FP-LV-100-YT-1;;;;60,00;60,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000024;;20110091;4;FP-KZ-CBR-DS-1;;;;446,00;446,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000024;;20110099;3;FP-VILT-7,5-38-6;;;;477,00;477,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000024;;20110111;3;FP-VILT-7,5-38-6;;;;533,00;533,00;;19-12-2011;;;;;;
20-12-2011;;OUT0000025;;0000000029;1;FEIA-SRM-155-155-A;;;;840,00;840,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;0000000029;2;FEIA-SRM-155-155-W;;;;672,00;672,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;0000000029;3;FEIA-SRM-195-195-W;;;;252,00;252,00;;20-12-2011;;;;;;
20-12-2011;;OUT0000025;;0000000029;4;FEIA-SV-125;;;;135,00;135,00;;20-12-2011;;;;;;
19-12-2011;;OUT0000025;;20110772;4;SP-JG-HL-1-QM;;;;540,00;980,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111184;3;SP-JG-HL-2-QM;;;;297,00;660,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111406;3;SP-JG-AOR-KR-1-14-A;;;;250.000,00;250.000,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;1;IVA-KAR-160-160-W;;;;24,00;24,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;2;IVA-SRM-195-195-A;;;;24,00;24,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;3;IVA-INB-60-500-W;;;;8,00;8,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;4;IVA-SRG-250-200-A;;;;24,00;24,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;5;IVA-SRM-215-150-W;;;;12,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;6;IVA-SRM-245-195-A;;;;24,00;24,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;7;IVA-RBR-130-75-S;;;;8,00;8,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;8;IVA-RBR-240-75-S;;;;8,00;8,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;9;IVA-SV-100;;;;6,00;6,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;10;IVA-SV-125;;;;12,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;11;IVA-SRM-155-155-S;;;;12,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111524;12;IVA-SSDA-93;;;;12,00;12,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111529;1;SP-ORC-SV-EFF-80;;;;84,00;84,00;;19-12-2011;;;;;;
19-12-2011;;OUT0000025;;20111529;2;SP-ORC-SV-EFF-125;;;;1.008,00;1.008,00;;19-12-2011;;;;;;
